index	gene.symbol
1631	CRABP2
1745	OLFML2B
1759	PBX1
2674	LTBP1
3195	IL1R1
3487	FAP
3643	ITGAV
3652	COL3A1
3653	COL5A2
3741	FZD7
3821	FN1
4011	COL6A3
5045	PLOD2
6156	SFRP2
6743	VCAN
6939	P4HA2
7201	PDGFRB
8149	BMP5
9002	SFRP4
9226	HGF
9259	FZD1
9285	COL1A2
9559	FLNC
9890	CD99
10255	SLC16A2
10794	LOXL2
10897	FGFR1
10927	PLAT
11904	GAS1
12125	TNC
12355	COL5A1
12861	CREB3L1
13349	SERPINH1
13673	THY1
13908	ITGA8
14002	ITGB1
14053	CXCL12
14334	ACTA2
14395	ENTPD1
14663	ADAM12
14743	CACNA1C
14838	C1S
14839	C1R
15419	LRP1
17049	TGFB3
17503	THBS1
20352	COL1A1
22475	PIK3R2
22501	COMP
24277	RUNX1
