index	gene.symbol
172	PIK3CD
221	TNFRSF1B
392	RUNX3
529	LCK
918	JAK1
1192	CD53
1346	TXNIP
1650	FCRL2
1698	SLAMF6
1702	CD48
1704	LY9
1782	CD247
1810	SELL
1966	PTPRC
2075	IKBKE
2099	CR1
2807	RPS27A
2828	REL
3155	ZAP70
3404	CXCR4
3569	WIPF1
3624	ITGA4
3731	CASP8
3982	INPP5D
4778	BTLA
4805	TIGIT
5306	ST6GAL1
5617	TLR10
5619	TLR6
5811	CXCL13
6561	MAP3K1
6970	TCF7
6999	CXCL14
7253	CYFIP2
7319	NPM1
7744	HLA-F
7807	TNF
7808	LTB
7865	GPSM3
7873	HLA-DQA1
7878	HLA-DOB
7883	PSMB9
7885	HLA-DMB
7906	TAPBP
7922	HMGA1
8322	CD24
8369	FYN
8511	TNFAIP3
8692	CCR6
8772	LFNG
8778	CARD11
9358	PVRIG
10223	IL2RG
10697	BLK
10771	PPP3CC
11624	RPS6
11754	PAX5
11927	SYK
12146	TRAF1
12956	MS4A1
12973	CD6
13088	RASGRP2
13489	BIRC3
13527	ATM
13541	POU2AF1
13623	CD3E
13624	CD3D
13642	CXCR5
13748	ETS1
14403	BLNK
14493	NFKB2
14793	CD27
14892	CLECL1
14893	CD69
16245	LCP1
16569	TRAC
16921	FUT8
17043	BATF
17259	TRAF3
18644	PRKCB
18699	CD19
18770	ITGAL
18937	NLRC5
19240	PLCG2
19285	IRF8
19721	TNFRSF13B
19976	CCL15
20080	CCR7
20497	CD79B
21162	BCL2
21669	MMP9
21673	CD40
22115	C3
22144	FCER2
22226	ICAM3
22466	JAK3
22530	GMIP
22661	CD22
22885	CD79A
22891	POU2F2
23124	CD37
23176	SPIB
23844	MCM5
23872	RAC2
23984	TNFRSF13C
24157	SAMSN1
